db_id,id,question,query,hardness,split,label,prediction,system,number_of_joins,number_of_projections,number_of_filters,number_of_aggregations,number_of_set_operations,number_of_subqueries,run,v1-v2-change,v1-v3-change,v2-v3-change,hardness_numeric,query_length,number_of_keywords,full_column_match,full_value_match,partial_column_match,question_similarity_train_query_id,similarity_score_nl,sql_similarity_train_query_id,similarity_score_sql,no_tokens
exp_v3,2,Against which team did Switzerland loose in 2018,"SELECT T1.teamname, T3.teamname, T2.team_goals, T2.opponent_team_goals FROM national_team AS T1 JOIN plays_match AS T2 ON T1.team_id = T2.team_id JOIN national_opponent_team AS T3 ON T2.opponent_team_id = T3.team_id WHERE T3.teamname = 'Switzerland' and T2.year = 2018 and T2.did_win = 'true'",hard,0,False,SELECT opponent_team_id FROM plays_match WHERE team_id = (SELECT team_id FROM national_team WHERE teamname = 'Switzerland') AND year = 2018 AND team_goals < opponent_team_goals;,GPT-3.5$_{s}$,2,4,4,0,0,0,0.0,True,True,True,3,292,1,0,4,13,600,0.761025488,373,0.840677966,37
exp_v3,6,All players that have the shirt number 13 and their name start with 'Alex',select player.player_name from player join player_fact on player.player_id = player_fact.player_id where player_fact.shirt_number = 13 and player.player_name like 'Alex%' group by player.player_name,extra,0,False,SELECT player_name FROM player WHERE shirt_number = 13 AND player_name LIKE 'Alex%',GPT-3.5$_{s}$,1,1,2,0,0,0,0.0,True,True,False,4,198,2,1,2,11,848,0.679871678,310,0.465346535,21
exp_v3,11,At how many woldcups did italy participate in?,SELECT count(*) FROM national_team AS T1 WHERE T1.teamname = 'Italy',easy,0,False,SELECT COUNT(DISTINCT year) FROM world_cup_result WHERE team_id = (SELECT team_id FROM national_team WHERE teamname = 'Italy'),GPT-3.5$_{s}$,0,1,1,1,0,0,0.0,False,False,False,1,68,0,0,4,2,792,0.989650965,792,1.0,10
exp_v3,22,For which club does Maradonna play,select T3.club_name from player as T1 join player_club_team as T2 on T1.player_id = T2.player_id join club as T3 on T2.club_id = T3.club_id where T1.player_name like '%Maradona%',extra,0,True,SELECT club_name FROM player_club_team JOIN club ON player_club_team.club_id = club.club_id JOIN player ON player_club_team.player_id = player.player_id WHERE player.player_name = 'Maradonna',GPT-3.5$_{s}$,2,1,1,0,0,0,0.0,False,False,False,4,178,0,0,0,3,469,0.914927781,41,0.951871658,26
exp_v3,51,Give me all matches where stage is Quarter-finals including the teamnames ordered descending by year\n,"SELECT m.year, nt.teamname, m.team_role, m.team_goals FROM plays_match AS m JOIN national_team as nt on m.team_id = nt.team_id where m.stage = 'Quarter-finals' order by m.year desc;",hard,0,False,"SELECT p.teamname, o.teamname, w.year FROM plays_match pm JOIN national_team p ON pm.team_id = p.team_id JOIN national_opponent_team o ON pm.opponent_team_id = o.team_id JOIN world_cup w ON pm.year = w.year WHERE pm.stage = 'Quarter-finals' ORDER BY w.year DESC",GPT-3.5$_{s}$,1,4,2,0,0,0,0.0,True,True,True,3,181,1,1,1,5,50,0.749126554,50,0.827027027,25
exp_v3,89,Give me the year of the first world cup played.,select t1.year from world_cup as t1 order by t1.year asc limit 1;,medium,0,True,SELECT MIN(year) AS first_world_cup_year FROM world_cup;,GPT-3.5$_{s}$,0,1,0,0,0,0,0.0,False,False,False,2,65,0,1,4,6,461,0.851404965,88,0.643678161,12
exp_v3,94,How many games did Brazil win?,SELECT count(*) FROM national_team AS T1 JOIN plays_match AS T2 ON T1.team_id = T2.team_id  JOIN national_opponent_team AS T3 ON T2.opponent_team_id = T3.team_id  WHERE T1.teamname = 'Brazil' and T2.team_goals > T2.opponent_team_goals;,hard,0,False,SELECT COUNT(*) AS games_won FROM plays_match WHERE team_id = (SELECT team_id FROM national_team WHERE teamname = 'Brazil')  AND did_win = TRUE;,GPT-3.5$_{s}$,2,1,2,1,0,0,0.0,True,True,True,3,235,0,0,4,3,170,0.919406831,1071,0.76446281,30
exp_v3,104,How many goals did each player score over all encounters between Germany with Brazil after 2000?,"select nt.teamname, p.player_name, count(*) from player as p join player_fact as pf on p.player_id = pf.player_id join national_team as nt on pf.team_id = nt.team_id where pf.player_id in ( select mf.player_id from plays_match as m join match_fact as mf on m.match_team_id = mf.match_team_id join national_team as n on n.team_id = m.team_id join national_opponent_team as ot on m.opponent_team_id = ot.team_id where mf.goal = 'true' and n.teamname = 'Brazil' and ot.teamname = 'Germany' OR mf.goal = 'true' and n.teamname = 'Germany' and ot.teamname = 'Brazil') and nt.year > 2000 GROUP BY nt.teamname, p.player_name ORDER BY count(*) DESC",extra,0,False,"SELECT p.player_name, COUNT(mf.goal) AS goals FROM player p JOIN match_fact mf ON p.player_id = mf.player_id JOIN plays_match pm ON mf.match_team_id = pm.match_team_id JOIN national_team nt ON pm.team_id = nt.team_id JOIN national_opponent_team not ON pm.opponent_team_id = not.team_id WHERE (nt.teamname = 'Germany' AND not.teamname = 'Brazil') AND pm.year > 2000 GROUP BY p.player_name;",GPT-3.5$_{s}$,5,3,9,2,0,1,0.0,True,True,True,4,639,3,1,4,11,100,0.826116323,234,0.955453149,94
exp_v3,108,How many Goals did Germany score against Brazil?,"SELECT T2.year, T2.opponent_team_goals FROM national_team AS T1 JOIN plays_match AS T2 ON T1.team_id = T2.team_id JOIN national_opponent_team AS T3 ON T2.opponent_team_id = T3.team_id WHERE T1.teamname = 'Brazil' and T3.teamname = 'Germany'",hard,0,False,SELECT COUNT(*) AS goals_scored FROM plays_match WHERE team_id = (SELECT team_id FROM national_team WHERE teamname = 'Germany') AND opponent_team_id = (SELECT team_id FROM national_opponent_team WHERE teamname = 'Brazil') AND team_goals IS NOT NULL;,GPT-3.5$_{s}$,2,2,2,0,0,0,0.0,True,True,True,3,240,0,1,4,9,127,0.879765451,439,0.853061224,31
exp_v3,120,How many goals did Ronaldo Score?,"SELECT T2.player_name, count(*) FROM match_fact AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id WHERE T1.goal = 'true' and T2.player_name ilike '%Ronaldo%' group by T2.player_name;",extra,0,False,SELECT COUNT(*) AS total_goals FROM player_fact WHERE player_id = (SELECT player_id FROM player WHERE player_name = 'Ronaldo') AND goal = TRUE;,GPT-3.5$_{s}$,1,2,2,1,0,0,0.0,True,True,False,4,187,0,1,2,9,118,0.961142957,110,0.968253968,26
exp_v3,122,How many goals did switzerland score in 2018,select sum(T2.team_goals) from national_team as T1 join plays_match as T2 on T2.team_id = T1.team_id where T1.teamname like '%Switzerland%' and T1.year = 2018,hard,0,True,SELECT SUM(goals) AS total_goals FROM national_team WHERE teamname = 'Switzerland' AND year = 2018,GPT-3.5$_{s}$,1,1,2,1,0,0,0.0,True,True,True,3,158,1,1,4,10,441,0.856562555,602,0.602484472,22
exp_v3,123,how many goals has France scored in the 2022 world cup,SELECT SUM (T2.team_goals) FROM national_team AS T1 JOIN plays_match AS T2 ON T1.team_id = T2.team_id JOIN national_opponent_team as T3 ON T2.opponent_team_id = T3.team_id WHERE T2.year = 2022 and T1.teamname ilike '%France',extra,0,False,SELECT SUM(goals) AS total_goals FROM national_team JOIN world_cup_result ON national_team.team_id = world_cup_result.team_id WHERE national_team.teamname = 'France' AND world_cup_result.year = 2022,GPT-3.5$_{s}$,2,2,2,0,0,0,0.0,True,True,True,4,224,0,1,4,10,107,0.884670258,107,0.978165939,31
exp_v3,124,How many goals has Giroud scored?,SELECT count(*) FROM match_fact AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id WHERE T1.goal = 'true' and T2.player_name ilike '%Giroud%',hard,0,False,SELECT COUNT(*) AS total_goals FROM player_fact JOIN player ON player_fact.player_id = player.player_id WHERE player.player_name = 'Giroud' AND player_fact.goal = TRUE;,GPT-3.5$_{s}$,1,1,2,1,0,0,0.0,False,False,False,3,145,0,1,1,9,110,0.917120218,115,0.95862069,22
exp_v3,136,How many matches were played in each stadium at the 2014 World Cup in Brazil?,"SELECT stadium_name, count(stadium_name) FROM stadium as T1 JOIN plays_match as T2 on T1.stadium_id = T2.stadium_id WHERE T2.year = '2014' AND T2.team_role = 'home' GROUP BY T1.stadium_name ORDER BY count(T1.stadium_name) DESC;",extra,0,False,"SELECT stadium_name, COUNT(*) AS matches_played FROM stadium JOIN plays_match ON stadium.stadium_id = plays_match.stadium_id JOIN world_cup ON plays_match.year = world_cup.year WHERE world_cup.year = 2014 AND world_cup.venue = 'Brazil' GROUP BY stadium_name;",GPT-3.5$_{s}$,1,2,2,2,0,0,0.0,False,True,True,4,227,0,0,4,8,164,0.821395218,964,0.591397849,30
