db_id,id,question,query,hardness,split,label,prediction,system,number_of_joins,number_of_projections,number_of_filters,number_of_aggregations,number_of_set_operations,number_of_subqueries,run,v1-v2-change,v1-v3-change,v2-v3-change,hardness_numeric,query_length,number_of_keywords,full_column_match,full_value_match,partial_column_match,question_similarity_train_query_id,similarity_score_nl,sql_similarity_train_query_id,similarity_score_sql
exp_v3,2,Against which team did Switzerland loose in 2018,"SELECT T1.teamname, T3.teamname, T2.team_goals, T2.opponent_team_goals
 FROM national_team AS T1 JOIN plays_match AS T2 ON T1.team_id = T2.team_id
 JOIN national_opponent_team AS T3 ON T2.opponent_team_id = T3.team_id
 WHERE T3.teamname = 'Switzerland' and T2.year = 2018 and T2.did_win = 'true'",hard,0,False,select t1.teamname from national_team as t1 join national_opponent_team as t2 on t1.team_id = t2.team_id where t1.year = 2018,T5-Picard-Keys,2,4,4,0,0,0,0.0,True,True,True,3,295,1,0,4,13,600,0.761025488,373,0.840677966
exp_v3,6,All players that have the shirt number 13 and their name start with 'Alex',"select player.player_name
 from player join player_fact on player.player_id = player_fact.player_id
 where player_fact.shirt_number = 13
 and player.player_name like 'Alex%'
 group by player.player_name",extra,0,False,select player_name from player where player_id in (select player_id from player_fact where shirt_number = 13) and player_name like '%alex%',T5-Picard-Keys,1,1,2,0,0,0,0.0,True,True,False,4,202,2,1,2,11,848,0.679871678,310,0.465346535
exp_v3,11,At how many woldcups did italy participate in?,SELECT count(*) FROM national_team AS T1 WHERE T1.teamname = 'Italy',easy,0,False,select count(*) from world_cup where qualified_team = 'Italy',T5-Picard-Keys,0,1,1,1,0,0,0.0,False,False,False,1,68,0,0,4,2,792,0.989650965,792,1.0
exp_v3,22,For which club does Maradonna play,"select T3.club_name
 from player as T1
 join player_club_team as T2 on T1.player_id = T2.player_id
 join club as T3 on T2.club_id = T3.club_id
 where T1.player_name like '%Maradona%'",extra,0,True,select t1.club_name from club as t1 join player_club_team as t2 on t1.club_id = t2.club_id join player as t3 on t2.player_id = t3.player_id where t3.player_name = 'Maradonna',T5-Picard-Keys,2,1,1,0,0,0,0.0,False,False,False,4,182,0,0,0,3,469,0.914927781,41,0.951871658
exp_v3,51,Give me all matches where stage is Quarter-finals including the teamnames ordered descending by year\n,"SELECT m.year, nt.teamname, m.team_role, m.team_goals
 FROM plays_match AS m
 JOIN national_team as nt on m.team_id = nt.team_id
 where m.stage = 'Quarter-finals'
 order by m.year desc;",hard,0,False,"select t2.teamname from plays_match as t1 join national_team as t2 on t1.team_id = t2.team_id where t1.stage = ""Quarter-finals"" order by t1.year desc",T5-Picard-Keys,1,4,2,0,0,0,0.0,True,True,True,3,185,1,1,1,5,50,0.749126554,50,0.827027027
exp_v3,89,Give me the year of the first world cup played.,select t1.year from world_cup as t1 order by t1.year asc limit 1;,medium,0,True,select year from world_cup order by year asc limit 1,T5-Picard-Keys,0,1,0,0,0,0,0.0,False,False,False,2,65,0,1,4,6,461,0.851404965,88,0.643678161
exp_v3,94,How many games did Brazil win?,"SELECT count(*)
 FROM national_team AS T1 JOIN plays_match AS T2 ON T1.team_id = T2.team_id 
 JOIN national_opponent_team AS T3 ON T2.opponent_team_id = T3.team_id 
 WHERE T1.teamname = 'Brazil' and T2.team_goals > T2.opponent_team_goals;",hard,0,False,"select count(*) from world_cup where qualified_team = ""Brazil""",T5-Picard-Keys,2,1,2,1,0,0,0.0,True,True,True,3,238,0,0,4,3,170,0.919406831,1071,0.76446281
exp_v3,104,How many goals did each player score over all encounters between Germany with Brazil after 2000?,"select nt.teamname, p.player_name, count(*)
 from player as p
 join player_fact as pf on p.player_id = pf.player_id
 join national_team as nt on pf.team_id = nt.team_id
 where pf.player_id in (
 select mf.player_id
 from plays_match as m
 join match_fact as mf on m.match_team_id = mf.match_team_id
 join national_team as n on n.team_id = m.team_id
 join national_opponent_team as ot on m.opponent_team_id = ot.team_id
 where mf.goal = 'true' and n.teamname = 'Brazil' and ot.teamname = 'Germany' OR mf.goal = 'true' and n.teamname = 'Germany' and ot.teamname = 'Brazil') and nt.year > 2000
 GROUP BY nt.teamname, p.player_name
 ORDER BY count(*) DESC",extra,0,False,"select t1.player_name, count(*) from player as t1 join plays_match as t2 on t1.player_",T5-Picard-Keys,5,3,9,2,0,1,0.0,True,True,True,4,651,3,1,4,11,100,0.826116323,234,0.955453149
exp_v3,108,How many Goals did Germany score against Brazil?,"SELECT T2.year, T2.opponent_team_goals
 FROM national_team AS T1
 JOIN plays_match AS T2 ON T1.team_id = T2.team_id
 JOIN national_opponent_team AS T3 ON T2.opponent_team_id = T3.team_id
 WHERE T1.teamname = 'Brazil' and T3.teamname = 'Germany'",hard,0,False,select count(*) from world_cup where qualified_team = (select qualified_team from world_cup where year = 2014),T5-Picard-Keys,2,2,2,0,0,0,0.0,True,True,True,3,244,0,1,4,9,127,0.879765451,439,0.853061224
exp_v3,120,How many goals did Ronaldo Score?,"SELECT T2.player_name, count(*) FROM match_fact AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id
 WHERE T1.goal = 'true' and T2.player_name ilike '%Ronaldo%'
 group by T2.player_name;",extra,0,False,select sum(goals_scored) from world_cup as t1 join player as t2 on t1.,T5-Picard-Keys,1,2,2,1,0,0,0.0,True,True,False,4,189,0,1,2,9,118,0.961142957,110,0.968253968
exp_v3,122,How many goals did switzerland score in 2018,"select sum(T2.team_goals)
 from national_team as T1
 join plays_match as T2 on T2.team_id = T1.team_id
 where T1.teamname like '%Switzerland%' and T1.year = 2018",hard,0,False,select sum(goals_scored) from national_team as t1 join world_cup as t2 on t1.team_id = t2.team_,T5-Picard-Keys,1,1,2,1,0,0,0.0,True,True,True,3,161,1,1,4,10,441,0.856562555,602,0.602484472
exp_v3,123,how many goals has France scored in the 2022 world cup,"SELECT SUM (T2.team_goals)
 FROM national_team AS T1
 JOIN plays_match AS T2 ON T1.team_id = T2.team_id
 JOIN national_opponent_team as T3 ON T2.opponent_team_id = T3.team_id
 WHERE T2.year = 2022 and T1.teamname ilike '%France'",extra,0,False,exp_v3,T5-Picard-Keys,2,2,2,0,0,0,0.0,True,True,True,4,228,0,1,4,10,107,0.884670258,107,0.978165939
exp_v3,124,How many goals has Giroud scored?,SELECT count(*) FROM match_fact AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id WHERE T1.goal = 'true' and T2.player_name ilike '%Giroud%',hard,0,False,"select count(*) from player as t1 join player_club_team as t2 on t1.player_id = t2.player_id where t1.player_name = ""Giroud""",T5-Picard-Keys,1,1,2,1,0,0,0.0,False,False,False,3,145,0,1,1,9,110,0.917120218,115,0.95862069
exp_v3,136,How many matches were played in each stadium at the 2014 World Cup in Brazil?,"SELECT stadium_name, count(stadium_name) FROM stadium as T1 JOIN plays_match as T2 on T1.stadium_id = T2.stadium_id WHERE T2.year = '2014' AND T2.team_role = 'home' GROUP BY T1.stadium_name ORDER BY count(T1.stadium_name) DESC;",extra,0,False,"select t2.stadium_name, count(*) from world_cup as t1 join stadium as t2 on t1.venue = t2.stadium_id where t1.year = 2014 and t2.country = ""Brazil"" group by t2.stadium_name",T5-Picard-Keys,1,2,2,2,0,0,0.0,False,True,True,4,227,0,0,4,8,164,0.821395218,964,0.591397849
exp_v3,142,How many players did the swiss team have in the 2022 world cup,SELECT DISTINCT count(DISTINCT T1.player_name) FROM player AS T1 JOIN player_fact AS T3 ON T1.player_id = T3.player_id JOIN national_team AS T2 ON T3.team_id = T2.team_id WHERE T2.teamname = 'Switzerland' and T2.year = 2022,hard,0,False,select count(*) from player,T5-Picard-Keys,2,3,2,1,0,0,0.0,False,False,False,3,223,0,0,0,15,135,0.802521944,535,0.919282511
exp_v3,144,How many players have played so far?,SELECT count(distinct p.player_id) from player as p join player_fact as pf on p.player_id = pf.player_id;,easy,0,False,select count(*) from plays_match,T5-Picard-Keys,1,2,0,1,0,0,0.0,False,False,False,1,105,0,0,0,3,515,0.606597185,490,0.545454545
exp_v3,147,How many red cards did the team of england receive in the world cup of 1966?,SELECT count( T1.red_card) FROM match_fact AS T1 JOIN plays_match AS T3 ON T1.match_team_id = T3.match_team_id JOIN national_team AS T2 ON T3.team_id = T2.team_id WHERE T2.teamname = 'England' and T2.year = 1966 and T1.red_card = 'true';,hard,0,False,"select count(*) from world_cup as t1 join national_team as t2 on t1.qualified_team = t2.team_id where t2.teamname = ""England"" and t1.year = 1966",T5-Picard-Keys,2,2,3,1,0,0,0.0,True,True,True,3,237,1,1,4,17,146,0.815996826,109,0.877637131
exp_v3,155,How many times did England win the world cup,"SELECT count(*)
FROM world_cup_result AS T1
    JOIN national_team AS T2 ON T1.team_id = T2.team_id
WHERE T2.teamname = 'England' and T1.winner = 'True'",hard,0,False,select count(*) from world_cup where qualified_team = 'England',T5-Picard-Keys,1,1,3,1,0,0,0.0,True,True,True,3,152,1,0,4,5,446,0.793739378,170,0.907894737
exp_v3,158,How many times did Switzerland play against Brasil,SELECT count(*) FROM plays_match AS T1 JOIN national_team AS T2 ON T1.team_id = T2.team_id JOIN national_opponent_team AS T3 ON T1.opponent_team_id = T3.team_id WHERE T2.teamname = 'Switzerland' and T3.teamname = 'Brazil',hard,0,False,select count(*) from plays_match where team_id = 'Switzerland' and match_id = 'Brazil',T5-Picard-Keys,2,1,2,1,0,0,0.0,True,True,True,3,221,1,0,4,3,376,0.815612197,376,0.963800905
