db_id,id,question,query,hardness,split,label,prediction,system,number_of_joins,number_of_projections,number_of_filters,number_of_aggregations,number_of_set_operations,number_of_subqueries,run,v1-v2-change,v1-v3-change,v2-v3-change,hardness_numeric,query_length,number_of_keywords,full_column_match,full_value_match,partial_column_match,question_similarity_train_query_id,similarity_score_nl,sql_similarity_train_query_id,similarity_score_sql,no_tokens
exp_v1,2,Against which team did Switzerland loose in 2018,"SELECT T1.teamname, T3.teamname, T2.home_team_goals, T2.away_team_goals
 FROM national_team AS T1
     JOIN match AS T2 ON T2.home_team_id = T1.team_id
     JOIN national_team AS T3 ON T2.away_team_id = T3.team_id
 WHERE T3.teamname = 'Switzerland' and T3.year = 2018 and T2.did_home_win = 'true'
UNION
SELECT T1.teamname, T3.teamname, T2.home_team_goals, T2.away_team_goals
 FROM national_team AS T1
     JOIN match AS T2 ON T2.away_team_id = T1.team_id
     JOIN national_team AS T3 ON T2.home_team_id = T3.team_id
 WHERE T3.teamname = 'Switzerland' and T3.year = 2018 and T2.did_home_win = 'False' and T2.is_draw = 'False'",extra,100,False,,ValueNet,4,4,9,0,1,0,0.0,True,True,True,4,625,1,0,6,11,600,0.761025488,332,0.7008,77
exp_v1,6,All players that have the shirt number 13 and their name start with 'Alex',"select player.player_name
 from player join player_fact on player.player_id = player_fact.player_id
 where player_fact.shirt_number = 13
 and player.player_name like 'Alex%'
 group by player.player_name",extra,100,False,,ValueNet,1,1,2,0,0,0,0.0,True,True,False,4,202,2,1,6,11,848,0.679871678,310,0.466019417,21
exp_v1,11,At how many woldcups did italy participate in?,SELECT count(*) FROM national_team AS T1 WHERE T1.teamname = 'Italy',easy,100,False,,ValueNet,0,1,1,1,0,0,0.0,False,False,False,1,68,0,0,4,2,792,0.989650965,792,1.0,10
exp_v1,22,For which club does Maradonna play,"select T3.club_name
 from player as T1
 join player_club_team as T2 on T1.player_id = T2.player_id
 join club as T3 on T2.club_id = T3.club_id
 where T1.player_name like '%Maradona%'",extra,100,False,,ValueNet,2,1,1,0,0,0,0.0,False,False,False,4,182,0,0,0,3,469,0.914927781,41,0.931937173,26
exp_v1,51,Give me all matches where stage is Quarter-finals including the teamnames ordered descending by year\n,"SELECT m.year, nt.teamname, nt2.teamname, m.home_team_goals, m.away_team_goals
 FROM match AS m
     JOIN national_team as nt on m.home_team_id = nt.team_id
     JOIN national_team as nt2 on nt2.team_id = m.away_team_id
 where m.stage = 'Quarter-finals'
 order by m.year desc;",extra,100,False,,ValueNet,2,5,2,0,0,0,0.0,True,True,True,4,276,1,1,1,4,50,0.749126554,50,0.789855072,34
exp_v1,89,Give me the year of the first world cup played.,select t1.year from world_cup as t1 order by t1.year asc limit 1;,medium,100,True,,ValueNet,0,1,0,0,0,0,0.0,False,False,False,2,65,0,1,4,6,461,0.851404965,88,0.643678161,12
exp_v1,94,How many games did Brazil win?,"SELECT count(*)
FROM national_team AS T1
    JOIN match AS T2 ON T1.team_id = T2.home_team_id
    JOIN national_team AS T3 ON T3.team_id = T2.away_team_id
 WHERE T1.teamname = 'Brazil' AND T2.home_team_goals > T2.away_team_goals
       OR T3.teamname = 'Brazil' AND T2.home_team_goals < T2.away_team_goals;",hard,100,False,,ValueNet,2,1,4,1,0,0,0.0,True,True,True,3,306,0,0,4,3,170,0.919406831,956,0.640522876,37
exp_v1,104,How many goals did each player score over all encounters between Germany with Brazil after 2000?,"select nt.teamname, p.player_name, count(*)
 from player as p
 join player_fact as pf on p.player_id = pf.player_id
 join national_team as nt on pf.team_id = nt.team_id
 where pf.player_id in (
 select mf.player_id
 from match as m
 join match_fact as mf on m.match_id = mf.match_id
 join national_team as n on n.team_id = m.home_team_id
 join national_team as ot on m.away_team_id = ot.team_id
 where mf.goal = 'true' and n.teamname = 'Brazil' and ot.teamname = 'Germany' OR mf.goal = 'true' and n.teamname = 'Germany' and ot.teamname = 'Brazil') and nt.year > 2000
 GROUP BY nt.teamname, p.player_name
 ORDER BY count(*) DESC",extra,100,False,,ValueNet,5,3,9,2,0,1,0.0,True,True,True,4,627,3,1,4,11,100,0.826116323,234,0.931419458,94
exp_v1,108,How many Goals did Germany score against Brazil?,"SELECT T3.year, T2.away_team_goals
 FROM national_team AS T1
 JOIN match AS T2 on T2.home_team_id = T1.team_id
 JOIN national_team AS T3 ON T3.team_id = T2.away_team_id
 WHERE T1.teamname = 'Brazil' and T3.teamname = 'Germany'
UNION
SELECT T3.year, T2.home_team_goals
 FROM national_team AS T1
 JOIN match AS T2 on T2.home_team_id = T1.team_id
 JOIN national_team AS T3 ON T3.team_id = T2.away_team_id
 WHERE T1.teamname = 'Germany' and T3.teamname = 'Brazil'",extra,100,False,,ValueNet,4,2,4,0,1,0,0.0,True,True,True,4,459,0,1,4,9,127,0.879765451,439,0.817987152,61
exp_v1,120,How many goals did Ronaldo Score?,"SELECT T2.player_name, count(*) FROM match_fact AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id
 WHERE T1.goal = 'true' and T2.player_name ilike '%Ronaldo%'
 group by T2.player_name;",hard,100,False,,ValueNet,1,2,2,1,0,0,0.0,True,True,False,3,189,0,1,2,9,118,0.961142957,110,0.968586387,26
